SMILES,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-CAM,E2-CAM,f1-CAM,f2-CAM
[H]n1nc(C([H])([H])C([H])([H])[H])nc1C([H])([H])[H],0.23886464,0.25056066,0.00537464,0.04388287,0.23108251,0.25521432,0.00523478,0.0901495,0.23108251,0.25521432,0.00523478,0.0901495,0.24026341,0.25381289,0.0047,0.1091
[H]OC([H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.26946109,0.30393616,0.01393368,0.00536548,0.28023662,0.3065334,0.00663546,0.00456723,0.28023662,0.3065334,0.00663546,0.00456723,0.27224635,0.30692302,0.01,0.0039
[H]OC1([H])C([H])(C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])C12[H],0.25343372,0.27398717,0.00431596,0.01438645,0.26534673,0.28174842,0.0031102,0.01540713,0.26534673,0.28174842,0.0031102,0.01540713,0.2546471,0.27448439,0.0022,0.0095
[H]C1([H])N2C3([H])C4([H])OC1([H])C4([H])C23[H],0.22515163,0.25583232,0.00313929,0.00381395,0.24353939,0.27006378,0.003781,0.00073942,0.24353939,0.27006378,0.003781,0.00073942,0.24102045,0.2696004,0.0031,0.0032
[H]C([H])([H])C([H])([H])C12N3C([H])([H])C1([H])C([H])([H])C32[H],0.25879805,0.26723102,0.00780715,0.00723977,0.27135975,0.28443868,0.01112161,0.00254326,0.27135975,0.28443868,0.01112161,0.00254326,0.27061101,0.27685104,0.0083,0.0048
[H]C([H])([H])C([H])([H])C1(C([H])([H])C#N)C([H])([H])C1([H])[H],0.30100115,0.31247145,0.00928018,0.00159639,0.28487393,0.29160069,0.00063319,0.00669737,0.28487393,0.29160069,0.00063319,0.00669737,0.28130139,0.29328902,0.0001,0.0068
[H]N([H])c1noc(=O)n1[H],0.23654334,0.25157016,0.0110952,0.02021312,0.24295493,0.25524216,0.02054082,0.00269346,0.24295493,0.25524216,0.02054082,0.00269346,0.23530961,0.25204892,0.0108,0.0059
[H]C([H])([H])C#CC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.25819789,0.2784818,0.00006054,0.0000709,0.23349935,0.24700517,0.00001122,0.02385382,0.23349935,0.24700517,0.00001122,0.02385382,0.23221899,0.24461821,0,0.0199
[H]C(=O)C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.10539176,0.15745181,0.00021426,0.00002854,0.09593979,0.15012045,0.00014008,0.00003308,0.09593979,0.15012045,0.00014008,0.00003308,0.10104595,0.15312709,0.0002,0
[H]C1([H])OC23C([H])([H])C([H])([H])C2(C1([H])[H])C3([H])[H],0.23286703,0.24856353,0.00506668,0.00148863,0.24876603,0.26564153,0.00216631,0.01153322,0.24876603,0.26564153,0.00216631,0.01153322,0.24282484,0.25692556,0.0048,0.0024
